Coin,total_profit,win_rate,volatility,trade_count,average_pnl_per_trade,consistency_score,rank
HYPE,1948484.599761,0.41499889713991617,406.67266626536656,68005,28.65207852012352,1988.377943914423,1
@107,2783912.919016,0.46759135769538546,1016.1599643003458,29992,92.82184979381168,1281.0321870973285,2
BTC,868044.732638,0.35082872928176795,526.3155429510236,26064,33.30435591766421,578.6168289912353,3
SOL,1639555.927506,0.394630998035731,1423.4280682051024,10691,153.35851908203162,454.55025544280755,4
MELANIA,390351.069856,0.44399277326106595,436.6117495075022,4428,88.15516482746162,396.95004599918934,5
@151,11583.842769,0.9166666666666666,37.502568956721746,324,35.75260113888889,283.1412042866679,6
ZEREBRO,21166.925278,0.8049414824447334,81.23215697356584,769,27.52526043953186,209.7461996191322,7
JELLY,35193.716244,0.8094758064516129,138.7647657216812,992,35.47753653629032,205.30039949608025,8
OGN,1752.668422,0.9961240310077519,9.082849111817557,258,6.793288457364341,192.2166835592484,9
ETH,1319978.838852,0.3599211328195017,2741.7574452339613,11158,118.29887424735615,173.27874126985066,10
